50353,呼玛,126.65,51.72
50632,博克图,121.92,48.77
50527,海拉尔,119.75,49.22
50434,图里河,121.7,50.45
50557,嫩江,125.23,49.17
50745,齐齐哈尔,123.92,47.38
50756,海伦,126.97,47.43
50788,富锦,131.98,47.23
50873,佳木斯,130.17,46.49
50978,鸡西,130.95,45.28
50953,哈尔滨,126.77,45.75
54094,牡丹江,129.6,44.57
50838,乌兰浩特,122.05,46.08
54135,通辽,122.27,43.6
54161,长春,125.22,43.9
54292,延吉,129.47,42.88
54363,通化,125.9,41.68
54342,沈阳,123.43,41.77
54324,朝阳,120.45,41.55
54471,营口,122.2,40.67
54497,丹东,124.33,40.05
54662,大连,121.63,38.9
54027,林东,119.4,43.98
54102,锡林浩特,116.07,43.95
53276,朱日和,112.9,42.4
54208,多伦,116.47,42.18
54218,赤峰,118.97,42.27
54423,承德,117.93,40.97
54401,张家口,114.88,40.78
53463,呼和浩特,111.68,40.82
53446,包头,109.85,40.66
53420,陕坝,107.1,40.58
54511,北京,116.28,39.93
54527,天津,117.17,39.1
53698,石家庄,114.42,38.03
54714,德州,116.22,37.29
53798,邢台,114.5,37.07
53898,安阳,114.37,36.12
54765,烟台,121.26,37.36
54857,青岛,120.33,36.07
54843,潍坊,119.08,36.7
54823,济南,116.98,36.68
54938,临沂,118.35,35.05
54906,荷泽,115.26,35.15
58044,新浦,119.1,34.36
58144,清江,119.03,33.6
58028,徐州,117.22,34.19
58221,蚌埠,117.37,32.95
58203,阜阳,115.83,32.93
57083,郑州,113.65,34.72
57178,南阳,112.58,33.03
57297,信阳,114.05,32.13
58251,东台,120.32,32.87
58238,南京,118.8,32
58321,合肥,117.23,31.87
58367,上海,121.46,31.41
58457,杭州,120.17,30.23
58424,安庆,117.05,30.53
58531,屯溪,118.28,29.71
58502,九江,115.59,29.45
57494,汉口,114.13,30.62
57378,钟祥,112.57,31.17
57584,岳阳,113.08,29.38
57461,宜昌,111.3,30.7
57662,常德,111.68,29.05
58562,宁波,121.56,29.86
58633,衢县,118.87,28.97
58659,温州,120.67,28.02
58731,浦城,118.53,27.92
58847,福州,119.28,26.08
58921,永安,117.35,25.97
58626,贵溪,117.21,28.3
58606,南昌,115.92,28.6
58813,广昌,116.33,26.85
57799,吉安,114.97,27.12
57993,赣州,114.95,25.85
57679,长沙,113.04,28.12
57872,衡阳,112.6,26.9
57980,郴县,112.59,25.45
57865,零陵,111.36,26.14
57745,芷江,109.68,27.45
59134,夏门,118.08,24.48
59117,梅县,116.12,24.3
59316,汕头,116.68,23.4
59082,曲江,113.58,24.8
59293,河源,114.68,23.73
59288,广州,113.19,23.08
59663,阳江,111.97,21.87
59658,湛江,110.4,21.22
59758,海口,110.35,20.03
57957,桂林,110.3,25.33
59044,柳州,109.23,24.22
59266,悟州,111.18,23.29
59431,南宁,108.35,22.82
59644,北海,109.1,21.48
59211,百色,106.6,23.9
57713,遵义,106.88,27.7
57816,贵阳,106.72,26.58
57707,毕节,105.23,27.3
57902,兴仁,105.18,25.43
57932,榕江,108.53,25.97
57447,恩施,109.47,30.28
57328,达县,107.5,31.2
57633,酉阳,108.77,28.83
57516,重庆,106.48,29.52
57411,南充,106.08,30.8
57504,内江,105.05,29.58
56196,绵阳,104.68,31.47
56294,成都,104.02,30.67
56492,宜宾,104.6,28.8
56287,雅安,103,29.98
56374,康定,101.97,30.05
56571,西昌,102.27,27.9
56671,会理,102.25,26.65
56651,丽江,100.47,26.83
56751,大理,100.18,25.7
56748,保山,99.22,25.13
56778,昆明,102.68,25.02
56951,临沧,100.22,23.95
56985,蒙自,103.38,23.38
56959,景洪,100.8,22.02
56146,甘孜,100,31.62
56444,德钦,98.9,28.5
56137,昌都,97.17,31.15
55591,拉萨,91.13,29.67
57036,西安,108.93,34.3
57006,天水,105.75,34.58
56093,岷县,104.01,34.43
57127,汉中,107.03,33.07
57245,安康,109.03,32.72
57253,郧县,110.49,32.51
53882,长治,113.04,36.03
53772,太原,112.55,37.78
53868,临汾,111.32,36.05
53646,榆林,109.7,38.23
53845,延安,109.5,36.6
53923,西峰镇,107.63,35.73
52889,兰州,103.88,36.05
53905,中宁,105.67,37.48
53614,银川,106.22,38.48
52866,西宁,101.77,36.62
52984,临夏,103.18,35.58
56033,玛多,98.22,34.92
56029,玉树,97.02,33.02
52679,武威,102.55,38.05
52652,张掖,100.43,38.93
52533,酒泉,98.48,39.77
52418,敦煌,94.68,40.15
51573,吐鲁番,89.2,42.93
51644,库车,82.95,41.72
51709,喀什,75.98,39.47
51828,和田,79.93,37.13
51855,且末,85.55,38.15
51777,若羌,88.17,39.03
52203,哈密,93.52,42.82
51076,阿勒泰,88.08,47.73
51133,塔城,83,46.73
51346,乌苏,84.66,44.43
51431,伊宁,81.33,43.95
51463,乌鲁木齐,87.62,43.78
